47, 0 %, 1 MiB
48, 0 %, 180 MiB
48, 4 %, 920 MiB
60, 86 %, 4604 MiB
60, 94 %, 4926 MiB
60, 96 %, 4946 MiB
60, 100 %, 4946 MiB
60, 100 %, 5078 MiB
60, 94 %, 5078 MiB
61, 92 %, 5078 MiB
61, 89 %, 5078 MiB
62, 83 %, 5078 MiB
62, 83 %, 5078 MiB
62, 82 %, 5078 MiB
62, 85 %, 5078 MiB
61, 89 %, 5078 MiB
61, 94 %, 5078 MiB
61, 97 %, 5078 MiB
61, 100 %, 5078 MiB
63, 97 %, 5240 MiB
62, 95 %, 5240 MiB
62, 87 %, 5240 MiB
62, 84 %, 5240 MiB
63, 84 %, 5240 MiB
63, 87 %, 5240 MiB
61, 90 %, 5240 MiB
61, 96 %, 5240 MiB
61, 100 %, 5240 MiB
62, 99 %, 5240 MiB
62, 92 %, 5240 MiB
63, 89 %, 5240 MiB
63, 83 %, 5240 MiB
63, 83 %, 5240 MiB
63, 83 %, 5240 MiB
63, 85 %, 5240 MiB
62, 88 %, 5240 MiB
62, 91 %, 5240 MiB
62, 95 %, 5242 MiB
59, 98 %, 5242 MiB
62, 89 %, 5242 MiB
54, 86 %, 5242 MiB
61, 86 %, 5242 MiB
61, 90 %, 5242 MiB
61, 92 %, 5242 MiB
61, 94 %, 5242 MiB
61, 100 %, 5242 MiB
62, 100 %, 5242 MiB
62, 97 %, 5242 MiB
63, 95 %, 5242 MiB
63, 91 %, 5242 MiB
63, 86 %, 5242 MiB
63, 82 %, 5242 MiB
63, 83 %, 5242 MiB
63, 82 %, 5242 MiB
62, 85 %, 5242 MiB
62, 89 %, 5242 MiB
61, 94 %, 5242 MiB
62, 97 %, 5242 MiB
62, 100 %, 5242 MiB
63, 94 %, 5242 MiB
63, 89 %, 5242 MiB
63, 83 %, 5242 MiB
63, 83 %, 5242 MiB
62, 84 %, 5242 MiB
62, 88 %, 5242 MiB
62, 91 %, 5242 MiB
61, 95 %, 5242 MiB
63, 100 %, 5242 MiB
63, 97 %, 5242 MiB
64, 92 %, 5242 MiB
64, 89 %, 5242 MiB
64, 87 %, 5242 MiB
64, 83 %, 5242 MiB
64, 100 %, 5242 MiB
62, 96 %, 5242 MiB
62, 94 %, 5242 MiB
57, 63 %, 5242 MiB
63, 92 %, 5242 MiB
