Container nvidia build =  16972326
out dir is .
python   run_squad.py --init_checkpoint=/data/bert_base/bert_base_uncased.pt --do_train --train_file=/data/squad/v1.1/train-v1.1.json --train_batch_size=6  --do_lower_case  --bert_model=bert-large-uncased  --learning_rate=0.0  --seed=1  --num_train_epochs=2.0  --max_seq_length=384  --doc_stride=128  --output_dir=.  --vocab_file=/data/bert_base/bert-base-uncased-vocab.txt  --config_file=/data/bert_base/bert_config.json  --max_steps=1000   |& tee ./logfile.txt

Iteration:   0%|          | 0/14774 [00:00<?, ?it/s]/opt/conda/lib/python3.6/site-packages/torch/functional.py:1242: UserWarning: torch.norm is deprecated and may be removed in a future PyTorch release. Use torch.linalg.norm instead.
  "torch.norm is deprecated and may be removed in a future PyTorch release. "
/workspace/examples/bert/optimization.py:150: UserWarning: This overload of add_ is deprecated:
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha) (Triggered internally at  ../torch/csrc/utils/python_arg_parser.cpp:882.)
  next_m.mul_(beta1).add_(1 - beta1, grad)

Iteration:   0%|          | 1/14774 [00:00<2:29:15,  1.65it/s]
Iteration:   0%|          | 2/14774 [00:00<1:59:27,  2.06it/s]
Iteration:   0%|          | 3/14774 [00:01<1:38:34,  2.50it/s]
Iteration:   0%|          | 4/14774 [00:01<1:24:02,  2.93it/s]
Iteration:   0%|          | 5/14774 [00:01<1:13:48,  3.33it/s]
Iteration:   0%|          | 6/14774 [00:01<1:06:38,  3.69it/s]
Iteration:   0%|          | 7/14774 [00:01<1:01:36,  4.00it/s]
Iteration:   0%|          | 8/14774 [00:02<58:14,  4.23it/s]  
Iteration:   0%|          | 9/14774 [00:02<55:49,  4.41it/s]
Iteration:   0%|          | 10/14774 [00:02<54:05,  4.55it/s]
Iteration:   0%|          | 11/14774 [00:02<52:51,  4.66it/s]
Iteration:   0%|          | 12/14774 [00:02<51:57,  4.74it/s]
Iteration:   0%|          | 13/14774 [00:03<51:19,  4.79it/s]
Iteration:   0%|          | 14/14774 [00:03<50:52,  4.84it/s]
Iteration:   0%|          | 15/14774 [00:03<50:34,  4.86it/s]
Iteration:   0%|          | 16/14774 [00:03<50:20,  4.89it/s]
Iteration:   0%|          | 17/14774 [00:03<50:10,  4.90it/s]
Iteration:   0%|          | 18/14774 [00:04<50:08,  4.90it/s]
Iteration:   0%|          | 19/14774 [00:04<50:07,  4.91it/s]
Iteration:   0%|          | 20/14774 [00:04<50:05,  4.91it/s]
Iteration:   0%|          | 21/14774 [00:04<50:01,  4.91it/s]
Iteration:   0%|          | 22/14774 [00:04<49:57,  4.92it/s]
Iteration:   0%|          | 23/14774 [00:05<49:56,  4.92it/s]
Iteration:   0%|          | 24/14774 [00:05<49:53,  4.93it/s]
Iteration:   0%|          | 25/14774 [00:05<49:52,  4.93it/s]
Iteration:   0%|          | 26/14774 [00:05<49:51,  4.93it/s]
Iteration:   0%|          | 27/14774 [00:05<49:51,  4.93it/s]
Iteration:   0%|          | 28/14774 [00:06<49:58,  4.92it/s]
Iteration:   0%|          | 29/14774 [00:06<50:06,  4.90it/s]
Iteration:   0%|          | 30/14774 [00:06<50:07,  4.90it/s]
Iteration:   0%|          | 31/14774 [00:06<50:05,  4.91it/s]
Iteration:   0%|          | 32/14774 [00:06<50:00,  4.91it/s]
Iteration:   0%|          | 33/14774 [00:07<50:01,  4.91it/s]
Iteration:   0%|          | 34/14774 [00:07<49:59,  4.91it/s]
Iteration:   0%|          | 35/14774 [00:07<50:00,  4.91it/s]
Iteration:   0%|          | 36/14774 [00:07<49:59,  4.91it/s]
Iteration:   0%|          | 37/14774 [00:07<49:57,  4.92it/s]
Iteration:   0%|          | 38/14774 [00:08<49:58,  4.91it/s]
Iteration:   0%|          | 39/14774 [00:08<49:59,  4.91it/s]
Iteration:   0%|          | 40/14774 [00:08<49:59,  4.91it/s]
Iteration:   0%|          | 41/14774 [00:08<50:01,  4.91it/s]
Iteration:   0%|          | 42/14774 [00:08<49:56,  4.92it/s]
Iteration:   0%|          | 43/14774 [00:09<49:57,  4.91it/s]
Iteration:   0%|          | 44/14774 [00:09<49:56,  4.92it/s]
Iteration:   0%|          | 45/14774 [00:09<49:56,  4.92it/s]
Iteration:   0%|          | 46/14774 [00:09<49:56,  4.92it/s]
Iteration:   0%|          | 47/14774 [00:09<49:53,  4.92it/s]
Iteration:   0%|          | 48/14774 [00:10<49:58,  4.91it/s]
Iteration:   0%|          | 49/14774 [00:10<51:25,  4.77it/s]
Iteration:   0%|          | 50/14774 [00:10<52:27,  4.68it/s]
Iteration:   0%|          | 51/14774 [00:10<53:07,  4.62it/s]
Iteration:   0%|          | 52/14774 [00:11<53:32,  4.58it/s]
Iteration:   0%|          | 53/14774 [00:11<53:49,  4.56it/s]
Iteration:   0%|          | 54/14774 [00:11<54:05,  4.54it/s]
Iteration:   0%|          | 55/14774 [00:11<54:11,  4.53it/s]
Iteration:   0%|          | 56/14774 [00:11<52:58,  4.63it/s]
Iteration:   0%|          | 57/14774 [00:12<52:08,  4.70it/s]
Iteration:   0%|          | 58/14774 [00:12<51:33,  4.76it/s]
Iteration:   0%|          | 59/14774 [00:12<51:09,  4.79it/s]
Iteration:   0%|          | 60/14774 [00:12<50:51,  4.82it/s]
Iteration:   0%|          | 61/14774 [00:12<50:41,  4.84it/s]
Iteration:   0%|          | 62/14774 [00:13<50:32,  4.85it/s]
Iteration:   0%|          | 63/14774 [00:13<50:25,  4.86it/s]
Iteration:   0%|          | 64/14774 [00:13<50:15,  4.88it/s]
Iteration:   0%|          | 65/14774 [00:13<50:13,  4.88it/s]
Iteration:   0%|          | 66/14774 [00:13<50:08,  4.89it/s]
Iteration:   0%|          | 67/14774 [00:14<50:05,  4.89it/s]
Iteration:   0%|          | 68/14774 [00:14<50:05,  4.89it/s]
Iteration:   0%|          | 69/14774 [00:14<50:04,  4.89it/s]
Iteration:   0%|          | 70/14774 [00:14<50:08,  4.89it/s]
Iteration:   0%|          | 71/14774 [00:14<50:10,  4.88it/s]
Iteration:   0%|          | 72/14774 [00:15<50:09,  4.88it/s]
Iteration:   0%|          | 73/14774 [00:15<50:08,  4.89it/s]
Iteration:   1%|          | 74/14774 [00:15<50:04,  4.89it/s]
Iteration:   1%|          | 75/14774 [00:15<50:03,  4.89it/s]
Iteration:   1%|          | 76/14774 [00:16<50:02,  4.90it/s]
Iteration:   1%|          | 77/14774 [00:16<49:57,  4.90it/s]
Iteration:   1%|          | 78/14774 [00:16<49:54,  4.91it/s]
Iteration:   1%|          | 79/14774 [00:16<49:55,  4.91it/s]
Iteration:   1%|          | 80/14774 [00:16<49:54,  4.91it/s]
Iteration:   1%|          | 81/14774 [00:17<49:53,  4.91it/s]
Iteration:   1%|          | 82/14774 [00:17<49:50,  4.91it/s]
Iteration:   1%|          | 83/14774 [00:17<49:47,  4.92it/s]
Iteration:   1%|          | 84/14774 [00:17<49:49,  4.91it/s]
Iteration:   1%|          | 85/14774 [00:17<49:53,  4.91it/s]
Iteration:   1%|          | 86/14774 [00:18<49:52,  4.91it/s]
Iteration:   1%|          | 87/14774 [00:18<49:54,  4.90it/s]
Iteration:   1%|          | 88/14774 [00:18<49:52,  4.91it/s]
Iteration:   1%|          | 89/14774 [00:18<49:55,  4.90it/s]
Iteration:   1%|          | 90/14774 [00:18<49:55,  4.90it/s]
Iteration:   1%|          | 91/14774 [00:19<49:51,  4.91it/s]
Iteration:   1%|          | 92/14774 [00:19<49:48,  4.91it/s]
